Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"97,20","109,10","106,70"
январь-сентябрь 2018 года,"112,30","112,40","107,90"
январь-июнь 2018 года,"130,30","121,10","113,60"
январь-март 2018 года,"139,00","140,20","120,60"
январь-декабрь 2017 года,"133,80","131,20","124,70"
январь-июнь 2017 года,"113,60","131,70","127,40"
январь-декабрь 2016 года,"61,90","90,40","99,80"
январь-сентябрь 2016 года,"56,70","86,40","96,60"
январь-сентябрь 2015 года,"64,50","61,70","61,70"
январь-июнь 2015 года,"82,20","62,90","61,00"
январь-март 2015 года,"82,70","64,50","62,80"
январь-декабрь 2014 года,"129,40","93,40","91,03"
январь-сентябрь 2014 года,"121,50","100,00","94,50"
январь-декабрь 2013 года,"78,00","113,30","100,30"
январь-сентябрь 2013 года,"74,50","112,20","102,20"
январь-июнь 2013 года,"90,80","113,50","104,20"
январь-март 2013 года,"88,60","114,00","104,70"