ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"97,20","97,50","97,10"
€нварь-август 2020 года,"97,30","97,60","95,50"
€нварь-июль 2020 года,"97,70","97,80","95,80"
€нварь-июнь 2020 года,"88,10","90,20","90,60"
€нварь-май 2020 года,"90,30","90,60","90,40"
€нварь-апрель 2020 года,"103,20","103,10","99,40"
€нварь-март 2020 года,"101,20","100,80","100,30"
€нварь-февраль 2020 года,"104,80","104,80","102,20"
€нварь 2020 года,"103,20","102,90","101,10"
€нварь-декабрь 2019 года,"106,00","104,20","102,40"
€нварь-но€брь 2019 года,"106,00","103,50","102,40"
€нварь-окт€брь 2019 года,"106,10","103,40","102,70"
€нварь-сент€брь 2019 года,"106,70","104,10","102,70"
€нварь-август 2019 года,"103,70","101,80","102,50"
€нварь-июль 2019 года,"107,40","104,80","102,60"
€нварь-июнь 2019 года,"107,10","104,40","102,60"
€нварь-май 2019 года,"108,30","106,50","100,90"
€нварь-апрель 2019 года,"108,00","104,50","102,80"
€нварь-март 2019 года,"106,20","103,60","102,10"
€нварь-февраль 2019 года,"104,70","102,20","102,60"
€нварь 2019 года,"105,40","101,50","101,10"
€нварь-декабрь 2018 года,"105,80","106,40","102,90"
€нварь-но€брь 2018 года,"105,50","106,10","102,90"
€нварь-окт€брь 2018 года,"105,20","106,00","103,00"
€нварь-сент€брь 2018 года,"104,80","105,80","103,00"
€нварь-август 2018 года,"104,30","105,70","103,10"
€нварь-июль 2018 года,"104,30","105,70","103,10"
€нварь-июнь 2018 года,"103,70","104,80","103,00"
€нварь-май 2018 года,"103,70","105,40","103,20"
€нварь-апрель 2018 года,"104,00","105,90","103,10"
€нварь-март 2018 года,"101,80","102,00","101,00"
€нварь-февраль 2018 года,"101,80","103,50","101,50"
€нварь 2018 года,"102,40","107,10","102,90"
€нварь-декабрь 2017 года,"101,80","102,00","101,00"
€нварь-но€брь 2017 года,"102,00","102,40","101,20"
€нварь-окт€брь 2017 года,"102,40","102,80","101,60"
€нварь-сент€брь 2017 года,"102,70","103,40","101,80"
€нварь-август 2017 года,"102,80","103,40","101,90"
€нварь-июль 2017 года,"103,00","103,20","101,90"
€нварь-июнь 2017 года,"103,20","103,30","102,00"
€нварь-май 2017 года,"103,00","103,20","101,70"
€нварь-апрель 2017 года,"102,80","103,40","100,70"
€нварь-март 2017 года,"102,70","102,00","100,10"
€нварь-февраль 2017 года,"103,30","102,70","99,70"
€нварь 2017 года,"102,10","102,90","102,30"
€нварь-декабрь 2016 года,"102,10","101,60","101,10"
€нварь-но€брь 2016 года,"101,80","101,80","100,80"
€нварь-окт€брь 2016 года,"101,90","101,80","100,30"
€нварь-сент€брь 2016 года,"102,10","101,90","100,30"
€нварь-август 2016 года,"102,30","101,60","100,40"
€нварь-июль 2016 года,"102,30","101,80","100,30"
€нварь-июнь 2016 года,"102,40","102,00","100,40"
€нварь-май 2016 года,"102,50","102,00","100,10"
€нварь-апрель 2016 года,"103,30","102,70","99,90"
€нварь-март 2016 года,"103,40","103,80","99,40"
€нварь-февраль 2016 года,"102,40","102,80","99,30"
€нварь 2016 года,"99,30","100,30","97,30"
€нварь-декабрь 2015 года,"99,80","98,20","96,60"
€нварь-но€брь 2015 года,"99,80","97,90","96,70"
€нварь-окт€брь 2015 года,"99,80","98,00","96,70"
€нварь-сент€брь 2015 года,"100,00","98,00","96,80"
€нварь-август 2015 года,"99,60","98,90","96,80"
€нварь-июль 2015 года,"99,60","99,40","97,00"
€нварь-июнь 2015 года,"99,10","98,50","97,30"
€нварь-май 2015 года,"99,40","99,30","97,70"
€нварь-апрель 2015 года,"100,00","99,90","98,50"
€нварь-март 2015 года,"100,70","100,60","99,60"
€нварь-февраль 2015 года,"100,60","100,50","99,60"
€нварь 2015 года,"100,30","100,70","100,90"
€нварь-декабрь 2014 года,"99,30","100,10","101,70"
€нварь-но€брь 2014 года,"99,20","99,30","101,50"
€нварь-окт€брь 2014 года,"99,20","99,30","101,70"
€нварь-сент€брь 2014 года,"99,20","99,40","101,50"
€нварь-август 2014 года,"99,20","99,10","101,30"
€нварь-июль 2014 года,"99,40","98,70","101,50"
€нварь-июнь 2014 года,"99,80","99,10","101,50"
€нварь-май 2014 года,"99,60","98,80","101,70"
€нварь-апрель 2014 года,"99,60","98,00","101,40"
€нварь-март 2014 года,"98,30","97,00","101,10"
€нварь-февраль 2014 года,"98,50","96,80","100,90"
€нварь 2014 года,"99,70","98,90","99,80"
€нварь-декабрь 2013 года,"100,70","100,80","100,40"
€нварь-но€брь 2013 года,"100,80","101,10","100,40"
€нварь-окт€брь 2013 года,"100,80","101,10","100,20"
€нварь-сент€брь 2013 года,"100,40","100,90","100,10"
€нварь-август 2013 года,"100,10","101,00","99,90"
€нварь-июль 2013 года,"100,00","101,20","99,90"
€нварь-июнь 2013 года,"99,90","101,40","99,80"
€нварь-май 2013 года,"99,90","101,40","99,40"
€нварь-апрель 2013 года,"99,70","101,70","99,40"
€нварь-март 2013 года,"100,50","102,10","98,80"
€нварь-февраль 2013 года,"99,40","102,00","98,20"
€нварь 2013 года,"100,80","101,60","99,60"