Период,Пермский край,Приволжский федеральный округ,Российская Федерация
январь-март 2020 года,"102,90","103,70","103,00"
январь-декабрь 2019 года,"95,30","104,30","104,00"
январь-сентябрь 2019 года,"83,61","103,98","105,10"
январь-июнь 2019 года,"101,46","102,82","101,20"
январь-март 2019 года,"101,33","102,06","101,10"
январь-декабрь 2018 года,"105,60","98,70","99,40"
январь-сентябрь 2018 года,"106,33","89,66","93,90"
январь-июнь 2018 года,"98,41","101,14","102,20"
январь-март 2018 года,"97,00","102,60","102,40"
январь-декабрь 2017 года,"97,00","102,60","102,40"
январь-сентябрь 2017 года,"96,37","105,06","103,80"
январь-июнь 2017 года,"97,40","100,43","100,20"
январь-март 2017 года,"100,00","100,20","100,70"
январь-декабрь 2016 года,"94,28","113,05","105,00"
январь-сентябрь 2016 года,"101,00","105,10","105,60"
январь-июнь 2016 года,"100,58","102,11","102,60"
январь-март 2016 года,"102,47","102,35","102,80"
январь-декабрь 2015 года,"98,80","101,60","103,00"
январь-сентябрь 2015 года,"99,42","100,00","102,20"
январь-июнь 2015 года,"104,58","101,80","102,90"
январь-март 2015 года,"104,51","101,57","103,50"
январь-декабрь 2014 года,"100,50","103,20","103,70"
январь-сентябрь 2014 года,"100,22","107,33","107,70"
январь-июнь 2014 года,"97,17","99,90","101,40"
январь-март 2014 года,"100,20","100,10","101,10"
январь-декабрь 2013 года,"96,60","104,20","105,80"
январь-сентябрь 2013 года,"96,30","99,10","102,30"
январь-июнь 2013 года,"96,30","98,50","101,10"
январь-март 2013 года,"95,70","98,70","101,40"