Период,Республика Башкортостан,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"132,70","109,10","106,70"
январь-сентябрь 2018 года,"147,50","112,40","107,90"
январь-июнь 2018 года,"159,10","121,10","113,60"
январь-март 2018 года,"152,50","140,20","120,60"
январь-декабрь 2017 года,"120,40","131,20","124,70"
январь-июнь 2017 года,"101,00","131,70","127,40"
январь-декабрь 2016 года,"96,50","90,40","99,80"
январь-сентябрь 2016 года,"87,40","86,40","96,60"
январь-сентябрь 2015 года,"58,00","61,70","61,70"
январь-июнь 2015 года,"62,60","62,90","61,00"
январь-март 2015 года,"56,20","64,50","62,80"
январь-декабрь 2014 года,"101,40","93,40","91,03"
январь-сентябрь 2014 года,"120,90","100,00","94,50"
январь-декабрь 2013 года,"83,70","113,30","100,30"
январь-сентябрь 2013 года,"74,70","112,20","102,20"
январь-июнь 2013 года,"94,20","113,50","104,20"
январь-март 2013 года,"125,80","114,00","104,70"